ID;PID;Game;Study;Game_group;Condition;Condition_params;Resolution;Framerate;Bitrate;VQ;VF;VU;VD;AC;Age;Gender;Expertise;Monitor
89;2;Game1;1;Game1_Game2_Game3;17;480_60_1000;480;60;1000;2;3,3;1,2;4,8;0;20;Female;1;Desktop
90;2;Game3;1;Game1_Game2_Game3;18;480_60_1000;480;60;1000;4;6,4;2,7;6,1;1;20;Female;1;Desktop
91;2;Game1;1;Game1_Game2_Game3;19;480_60_2000;480;60;2000;2,7;2,4;3;3,4;0;20;Female;1;Desktop
92;2;Game3;1;Game1_Game2_Game3;20;480_60_2000;480;60;2000;3;6,3;2,4;3,7;1;20;Female;1;Desktop
93;2;Game2;1;Game1_Game2_Game3;21;480_60_2000;480;60;2000;5,3;6,5;2,4;6,4;1;20;Female;1;Desktop
94;2;Game2;1;Game1_Game2_Game3;22;480_60_6000;480;60;6000;3,8;6,4;6,4;4,1;1;20;Female;1;Desktop
95;2;Game1;1;Game1_Game2_Game3;23;480_60_6000;480;60;6000;5,1;5,8;3,8;5,8;1;20;Female;1;Desktop
96;2;Game3;1;Game1_Game2_Game3;24;480_60_6000;480;60;6000;3,8;6,1;1,9;5;0;20;Female;1;Desktop
97;2;Game1;1;Game1_Game2_Game3;25;720_30_1000;720;30;1000;3,6;1,7;2,4;6,1;0;20;Female;1;Desktop
98;2;Game2;1;Game1_Game2_Game3;26;720_30_1000;720;30;1000;3,2;2;3,9;5,2;0;20;Female;1;Desktop
99;2;Game3;1;Game1_Game2_Game3;27;720_30_1000;720;30;1000;3,8;3,4;5,2;3,7;0;20;Female;1;Desktop
100;2;Game3;1;Game1_Game2_Game3;28;720_30_2000;720;30;2000;5,3;6,3;4,9;2,1;1;20;Female;1;Desktop
101;2;Game2;1;Game1_Game2_Game3;29;720_30_2000;720;30;2000;4,9;2,9;5,8;5,8;1;20;Female;1;Desktop
102;2;Game1;1;Game1_Game2_Game3;30;720_30_2000;720;30;2000;4,4;1,7;3,7;6,1;1;20;Female;1;Desktop
103;2;Game1;1;Game1_Game2_Game3;31;720_30_4000;720;30;4000;5,4;6,1;3,9;3,7;0;20;Female;1;Desktop
104;2;Game2;1;Game1_Game2_Game3;32;720_30_4000;720;30;4000;6,2;6,4;6,3;4,9;1;20;Female;1;Desktop
105;2;Game3;1;Game1_Game2_Game3;33;720_30_4000;720;30;4000;3,8;6,4;2,8;1,8;0;20;Female;1;Desktop
106;2;Game3;1;Game1_Game2_Game3;34;720_30_50000;720;30;50000;3,8;6,3;1,8;2,4;0;20;Female;1;Desktop
107;2;Game2;1;Game1_Game2_Game3;35;720_30_50000;720;30;50000;5,7;6;4,6;6,3;1;20;Female;1;Desktop
108;2;Game1;1;Game1_Game2_Game3;36;720_30_50000;720;30;50000;5;6,2;3,7;6,2;1;20;Female;1;Desktop
109;2;Game3;1;Game1_Game2_Game3;37;720_60_1000;720;60;1000;3,1;1,6;2;5,5;0;20;Female;1;Desktop
110;2;Game1;1;Game1_Game2_Game3;38;720_60_1000;720;60;1000;3,3;1,8;3,6;5,5;0;20;Female;1;Desktop
111;2;Game2;1;Game1_Game2_Game3;39;720_60_1000;720;60;1000;2,3;1,5;3,7;4,9;1;20;Female;1;Desktop
